time,pos_x,pos_y
7.76148,-9.48E-05,0.000476293
7.765652,-9.48E-05,0.000476293
7.769668,-9.48E-05,0.000476293
7.773719,-9.48E-05,0.000476293
7.777795,-9.48E-05,0.000476293
7.781876,-9.48E-05,0.000476293
7.785952,-9.48E-05,0.000476293
7.790031,-9.48E-05,0.000476293
7.794111,-9.48E-05,0.000476293
7.798189,-9.48E-05,0.000476293
7.802269,-9.48E-05,0.000476293
7.806348,-9.48E-05,0.000476293
7.810467,-9.48E-05,0.000476293
7.814535,-0.000126564,0.000476293
7.818627,-0.000126564,0.000476293
7.822708,-0.00015831,0.000508043
7.826789,-0.000190056,0.000508043
7.830867,-0.000190056,0.000539793
7.835172,-0.000221802,0.000539793
7.839089,-0.000253548,0.000571543
7.843151,-0.000285301,0.000603293
7.847254,-0.000317047,0.000603293
7.851308,-0.000348793,0.000635043
7.855398,-0.000348793,0.000635043
7.859472,-0.000348793,0.000666793
7.863552,-0.000380539,0.000698543
7.86763,-0.000380539,0.000730293
7.871706,-0.000380539,0.000762043
7.875786,-0.000380539,0.000793793
7.879878,-0.000380539,0.000857293
7.883952,-0.000348793,0.000920793
7.888031,-0.000348793,0.000952543
7.89211,-0.000317047,0.001016043
7.896187,-0.000253548,0.001079543
7.900268,-0.000221802,0.001111293
7.904344,-0.000158302,0.001206543
7.908425,-9.48E-05,0.001270043
7.912502,-3.13E-05,0.001333543
7.916584,6.40E-05,0.001397043
7.920664,0.00015921,0.001492293
7.924742,0.000222702,0.001587543
7.928835,0.000317963,0.001682793
7.93291,0.000413216,0.001778043
7.93708,0.000476707,0.001873293
7.941104,0.000571976,0.002000293
7.945314,0.000667206,0.002127293
7.949363,0.000730713,0.002222543
7.953322,0.000825958,0.002381293
7.957403,0.000921211,0.002476543
7.961485,0.000984711,0.002603543
7.965562,0.001111694,0.002762293
7.969641,0.001175209,0.002889293
7.973727,0.001270439,0.003016293
7.9778,0.001365677,0.003175043
7.981881,0.001460938,0.003302043
7.98596,0.001556183,0.003460793
7.99004,0.001651421,0.003619542
7.994124,0.001714905,0.003746543
7.99828,0.001810173,0.003905293
8.00229,0.001905418,0.004095793
8.006365,0.00196891,0.004254543
8.010446,0.002032402,0.004445043
8.014525,0.002095909,0.004572042
8.018601,0.002127655,0.004762543
8.022683,0.002222916,0.004953043
8.02676,0.002286407,0.005111792
8.030842,0.002349899,0.005302292
8.034927,0.002413399,0.005524542
8.039002,0.002476891,0.005715043
8.043083,0.00254039,0.005937293
8.047324,0.002603889,0.006159543
8.051255,0.002699127,0.006413543
8.055333,0.00279438,0.006667543
8.05941,0.002857872,0.006889793
8.063491,0.002921364,0.007143793
